epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1648,0.87683,1.77983,1.05685,0.9661,0.99375,0.99098,0.84302,0.5779,0.69428,0.87083,0.000662921,0.000662921,0.000662921
2,45.1033,0.85975,1.03003,1.04365,0.9311,0.91875,0.95388,0.65057,1.22913,1.42523,1.23603,0.00131643,0.00131643,0.00131643
3,67.8603,0.82203,0.81906,1.02403,0.98429,0.96875,0.98644,0.86013,0.49782,0.41729,0.83251,0.00195673,0.00195673,0.00195673
4,91.1023,0.79437,0.72293,1.01847,0.96185,0.99375,0.99325,0.84589,0.59923,0.62481,0.84805,0.0019406,0.0019406,0.0019406
5,113.481,0.73512,0.66227,0.98464,0.96311,0.98125,0.98742,0.85743,0.60903,0.40925,0.86808,0.0019208,0.0019208,0.0019208
6,136.667,0.74658,0.66864,0.99522,0.97536,0.96875,0.99267,0.89918,0.49829,0.33895,0.82308,0.001901,0.001901,0.001901
7,157.996,0.71509,0.64317,0.98821,0.95781,0.99319,0.98938,0.87853,0.53034,0.3726,0.83953,0.0018812,0.0018812,0.0018812
8,180.224,0.70535,0.61099,0.98673,0.96892,0.98125,0.98813,0.89792,0.47767,0.36061,0.82048,0.0018614,0.0018614,0.0018614
9,202.124,0.66502,0.57393,0.95605,0.97845,0.975,0.97471,0.87639,0.47805,0.36574,0.81322,0.0018416,0.0018416,0.0018416
10,223.582,0.66829,0.59281,0.96884,0.95699,0.9875,0.98435,0.90734,0.42754,0.34721,0.804,0.0018218,0.0018218,0.0018218
11,245.575,0.64503,0.56813,0.95466,0.97627,0.975,0.99287,0.92077,0.39307,0.32608,0.80062,0.001802,0.001802,0.001802
12,267.776,0.62556,0.54267,0.95524,0.97514,0.98069,0.98768,0.87443,0.52901,0.33403,0.83326,0.0017822,0.0017822,0.0017822
13,289.581,0.62539,0.54514,0.95426,0.96107,0.98125,0.99072,0.88239,0.51591,0.34064,0.8259,0.0017624,0.0017624,0.0017624
14,311.61,0.6341,0.56739,0.9562,0.97772,0.98125,0.99068,0.88421,0.53067,0.34563,0.82564,0.0017426,0.0017426,0.0017426
15,333.505,0.63191,0.53938,0.95284,0.96116,0.9875,0.98921,0.89807,0.47183,0.35304,0.81368,0.0017228,0.0017228,0.0017228
16,354.48,0.6332,0.54131,0.95769,0.95864,0.9875,0.99202,0.91287,0.4667,0.31914,0.81405,0.001703,0.001703,0.001703
17,375.779,0.5954,0.51658,0.9354,0.97157,0.9875,0.98426,0.89164,0.46469,0.80105,0.8114,0.0016832,0.0016832,0.0016832
18,398.336,0.61867,0.5149,0.9396,0.9667,0.9875,0.98751,0.89305,0.41634,0.30644,0.80207,0.0016634,0.0016634,0.0016634
19,421.559,0.6024,0.5159,0.94107,0.97417,0.9875,0.98909,0.9009,0.43871,0.29965,0.80192,0.0016436,0.0016436,0.0016436
20,444.395,0.58458,0.50859,0.93828,0.96337,0.98614,0.98908,0.90296,0.43371,0.30109,0.80374,0.0016238,0.0016238,0.0016238
21,466.778,0.59516,0.49425,0.93848,0.9516,0.98298,0.98861,0.90852,0.4188,0.29177,0.80779,0.001604,0.001604,0.001604
22,488.77,0.57213,0.4841,0.92339,0.96484,0.98125,0.99131,0.92035,0.41236,0.30936,0.79711,0.0015842,0.0015842,0.0015842
23,511.171,0.58966,0.50554,0.93269,0.95718,0.9875,0.98939,0.89901,0.44917,0.31002,0.81482,0.0015644,0.0015644,0.0015644
24,532.92,0.58217,0.50019,0.93758,0.94642,0.99361,0.98949,0.92128,0.41061,0.29384,0.80435,0.0015446,0.0015446,0.0015446
25,554.062,0.56526,0.47925,0.92478,0.96319,0.98129,0.99329,0.89653,0.44944,0.29453,0.8127,0.0015248,0.0015248,0.0015248
26,575.668,0.57067,0.4695,0.9245,0.96349,0.9896,0.98779,0.89674,0.43863,0.33489,0.80988,0.001505,0.001505,0.001505
27,597.16,0.55345,0.47431,0.91975,0.9586,0.9875,0.9936,0.91405,0.40541,0.29269,0.7986,0.0014852,0.0014852,0.0014852
28,618.501,0.55525,0.47074,0.91847,0.97519,0.98278,0.98959,0.89466,0.46514,0.30228,0.81109,0.0014654,0.0014654,0.0014654
